,IDSV,IDMON,DIEM
832,17.0,13.0,3.0
833,17.0,14.0,3.0
834,17.0,15.0,3.4
835,17.0,17.0,3.25
836,17.0,18.0,2.9
837,17.0,19.0,3.0
838,17.0,20.0,2.75
839,17.0,21.0,3.4
840,17.0,22.0,3.95
841,17.0,23.0,3.55
842,17.0,24.0,4.0
843,17.0,25.0,3.4
844,17.0,26.0,3.2
845,17.0,27.0,3.75
846,17.0,28.0,3.25
847,17.0,29.0,3.15
848,17.0,30.0,2.5
849,17.0,31.0,2.65
850,17.0,32.0,3.35
851,17.0,33.0,3.5
852,17.0,34.0,3.35
853,17.0,35.0,2.95
854,17.0,36.0,2.8
855,17.0,37.0,3.4
856,17.0,38.0,2.7
857,17.0,39.0,3.75
858,17.0,40.0,3.15
859,17.0,41.0,2.65
860,17.0,42.0,2.8
861,17.0,43.0,3.75
862,17.0,44.0,4.5
863,17.0,45.0,3.5
864,17.0,46.0,3.35
865,17.0,47.0,4.0
866,17.0,48.0,4.35
867,17.0,49.0,3.65
868,17.0,51.0,3.85
869,18.0,0.0,4.0
870,18.0,1.0,3.5
871,18.0,2.0,4.5
872,18.0,3.0,3.5
873,18.0,4.0,3.5
874,18.0,6.0,3.0
875,18.0,7.0,2.75
876,18.0,8.0,4.0
877,18.0,9.0,4.0
878,18.0,10.0,3.0
879,18.0,11.0,2.5
880,18.0,12.0,4.5
881,18.0,13.0,3.5
882,18.0,14.0,3.5
883,18.0,15.0,3.5
884,18.0,17.0,3.65
885,18.0,18.0,2.75
886,18.0,19.0,3.0
887,18.0,20.0,3.0
888,18.0,21.0,3.0
889,18.0,22.0,3.55
890,18.0,23.0,3.15
891,18.0,24.0,3.9
892,18.0,25.0,3.95
893,18.0,26.0,3.7
894,18.0,27.0,3.9
895,18.0,28.0,2.75
896,18.0,29.0,2.65
897,18.0,30.0,3.0
898,18.0,31.0,3.0
899,18.0,32.0,3.7
900,18.0,33.0,4.0
901,18.0,34.0,3.2
902,18.0,35.0,2.9
903,18.0,36.0,2.8
904,18.0,37.0,4.2
905,18.0,38.0,2.85
906,18.0,39.0,3.5
907,18.0,40.0,3.65
908,18.0,41.0,2.5
909,18.0,42.0,3.5
910,18.0,43.0,2.9
911,18.0,44.0,4.5
912,18.0,45.0,4.25
913,18.0,46.0,3.7
914,18.0,47.0,4.15
915,18.0,48.0,4.5
916,18.0,49.0,4.35
917,18.0,51.0,4.75
918,19.0,0.0,3.0
919,19.0,1.0,3.5
920,19.0,2.0,4.0
921,19.0,3.0,3.5
922,19.0,4.0,3.5
923,19.0,5.0,2.5
924,19.0,6.0,2.5
925,19.0,7.0,2.7
926,19.0,8.0,3.5
927,19.0,9.0,3.5
928,19.0,10.0,3.0
929,19.0,11.0,3.0
930,19.0,12.0,4.0
931,19.0,13.0,2.5
932,19.0,14.0,3.0
933,19.0,15.0,3.65
934,19.0,17.0,3.9
935,19.0,18.0,3.0
936,19.0,19.0,3.25
937,19.0,20.0,3.15
938,19.0,21.0,3.75
939,19.0,22.0,2.45
940,19.0,23.0,2.95
941,19.0,24.0,3.45
942,19.0,25.0,3.7
943,19.0,26.0,3.55
944,19.0,27.0,2.9
945,19.0,28.0,2.15
946,19.0,29.0,3.5
947,19.0,30.0,2.75
948,19.0,31.0,3.0
949,19.0,32.0,3.7
950,19.0,33.0,2.8
951,19.0,34.0,3.1
952,19.0,35.0,2.25
953,19.0,36.0,3.35
954,19.0,37.0,0.55
955,19.0,38.0,2.95
956,19.0,39.0,3.75
957,19.0,40.0,3.05
958,19.0,41.0,3.65
959,19.0,42.0,3.5
960,19.0,43.0,2.75
961,19.0,44.0,4.5
962,19.0,45.0,4.0
963,19.0,46.0,3.85
964,19.0,47.0,4.0
965,19.0,48.0,4.2
966,19.0,49.0,3.85
967,19.0,51.0,4.4
968,20.0,0.0,3.5
969,20.0,1.0,3.0
970,20.0,2.0,4.0
971,20.0,3.0,4.5
972,20.0,4.0,3.5
973,20.0,6.0,3.0
974,20.0,7.0,3.0
975,20.0,8.0,4.5
976,20.0,9.0,4.0
